Title,Year_recorded,Year_released,Album,Record_label,Album_type,Track_number,Duration,Songwriter,Lead_vocal,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,British_charts,Date,UK_peak_pos,WoC,US_cash,US_rec_world,AUS,US,GER,NLD,FRA,SWI,CAN,POL,Certification
Some Girls,1977,1978,Shine a Light,Interscope,Live,7,259,Jagger/Richards,Jagger,0.538,0.483,0.925,0.452,0.51,-2.701,0.08,72.179,0.581,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Something Happened To Me Yesterday,1966,1967,Between the Buttons,ABKCO Records,Studio,12,295,Jagger/Richards,"Jagger, Richards",0.766,0.629,0.531,0.0,0.367,-9.261,0.117,144.114,0.583,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Soul Survivor,1971,1972,Exile on Main St.,Virgin,Studio,18,229,Jagger/Richards,Jagger,0.183,0.337,0.919,0.186,0.286,-3.94,0.0431,114.748,0.525,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sparks Will Fly,1993,1994,Voodoo Lounge,Virgin,Studio,3,196,Jagger/Richards,Jagger,0.00589,0.426,0.956,0.00174,0.284,-4.151,0.102,154.886,0.664,No,No,No,No,No,No,No,No,No,No,No,No,57th,No,No
The Spider And The Fly,1965,1965,Stripped,Virgin,Live,5,208,Jagger/Richards,Jagger,0.12,0.737,0.458,0.182,0.0713,-10.681,0.0322,98.39,0.909,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Star Star,1972,1973,Goats Head Soup,Interscope / Polydor,Studio,10,263,Jagger/Richards,Jagger,0.0967,0.455,0.961,0.00236,0.978,-4.345,0.0777,149.063,0.804,No,No,No,No,No,No,No,No,32th,21th,2nd,7th,No,No,No
Start Me Up,1979,1981,Shine a Light,Interscope,Live,16,245,Jagger/Richards,Jagger,0.0436,0.631,0.932,0.137,0.0918,-4.142,0.0354,122.429,0.971,Yes,29.08. 1981,7th,9th,No,No,1st,2nd,36th,5th,9th,5th,2nd,No,"UK: Platinum, ITA: Gold"
Stop Breaking Down,1971,1972,Exile on Main St.,Virgin,Studio,16,274,Robert Johnson,Jagger,0.509,0.522,0.891,0.908,0.111,-4.085,0.0322,104.411,0.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Stray Cat Blues,1968,1968,Get Yer Ya-Ya's Out!,ABKCO Records,Live,3,226,Jagger/Richards,Jagger,0.0227,0.346,0.797,0.00212,0.0834,-9.335,0.0522,104.924,0.427,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Streets Of Love,2004,2005,A Bigger Bang,Virgin,Studio,5,310,Jagger/Richards,Jagger,0.0416,0.434,0.603,6.44e-06,0.653,-4.995,0.0312,81.755,0.213,No,No,No,No,No,No,No,No,15th,5th,No,21th,No,21th,No
Stupid Girl,1965,1966,Aftermath,ABKCO Records,Studio,2,175,Jagger/Richards,Jagger,0.188,0.7,0.811,0.55,0.256,-11.837,0.0589,130.895,0.891,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Suck On The Jugular,1993,1994,Voodoo Lounge,Virgin,Studio,11,267,Jagger/Richards,Jagger,0.0974,0.477,0.896,0.0526,0.0521,-5.999,0.0644,102.591,0.726,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Summer Romance,1979,1980,Emotional Rescue,Universal,Studio,2,196,Jagger/Richards,Jagger,0.073,0.334,0.975,0.269,0.291,-3.134,0.188,170.035,0.62,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Surprise, Surprise",1964,1965,"The Rolling Stones, Now!",ABKCO Records,Studio,12,151,Jagger/Richards,Jagger,0.03,0.75,0.882,5.48e-06,0.109,-8.842,0.0762,107.69,0.939,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Susie Q,1964,1964,The Rolling Stones No.2,Decca,Studio,12,110,Dale Hawkins/Stan Lewis/Eleanore Broadwater,Jagger,0.0354,0.502,0.752,0.638,0.158,-9.028,0.0372,81.103,0.968,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sway,1970,1971,Sticky Fingers,Virgin,Studio,2,233,Jagger/Richards,Jagger,0.221,0.33,0.895,0.737,0.408,-3.435,0.0399,144.945,0.54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sweet Black Angel,1971,1972,Exile on Main St.,Virgin,Studio,8,178,Jagger/Richards,Jagger,0.65,0.498,0.728,0.000172,0.114,-7.387,0.0373,174.33,0.609,No,No,No,No,No,No,No,No,No,No,21th,No,No,No,No
Sweet Neo Con,2004,2005,A Bigger Bang,Virgin,Studio,13,273,Jagger/Richards,Jagger,0.0684,0.72,0.859,0.000773,0.553,-3.696,0.0378,113.065,0.898,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sweet Virginia,1971,1972,Exile on Main St.,Virgin,Studio,6,266,Jagger/Richards,Jagger,0.502,0.477,0.74,1.31e-06,0.263,-5.397,0.0446,107.384,0.56,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sweethearts Together,1993,1994,Voodoo Lounge,Virgin,Studio,10,285,Jagger/Richards,Jagger,0.0643,0.667,0.574,2.52e-05,0.153,-7.793,0.0271,127.325,0.632,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sympathy For The Devil,1968,1968,Love You Live,Virgin,Live,8,467,Jagger/Richards,Jagger,0.565,0.566,0.673,1.13e-06,0.0438,-10.814,0.306,114.385,0.583,Yes,13.09. 2003,14th,7th,No,No,No,No,No,No,No,No,No,No,"GER: Gold, UK: Platinum"
Take It Or Leave It,1965,1966,Flowers,ABKCO Records,Compilation,10,167,Jagger/Richards,Jagger,0.154,0.648,0.538,0.000125,0.165,-12.537,0.0283,104.408,0.763,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Talkin' About You,1965,1965,December's Children (And Everybody's),ABKCO Records,Studio,2,151,Chuck Berry,Jagger,0.114,0.668,0.637,0.000418,0.0603,-8.337,0.037,120.292,0.833,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Terrifying,1989,1989,Steel Wheels,Virgin,Studio,3,293,Jagger/Richards,Jagger,0.0273,0.607,0.925,0.0153,0.315,-5.484,0.0468,143.029,0.913,Yes,11.08. 1990,82th,2nd,No,No,No,No,No,58th,No,No,No,No,No
That's How Strong My Love Is,1965,1965,Out of Our Heads,ABKCO Records,Studio,4,145,Roosevelt Jamison,Jagger,0.00151,0.431,0.596,0.00407,0.0642,-9.121,0.0269,96.711,0.541,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Thief In The Night,1997,1997,No Security,Virgin,Live,12,337,Jagger/Richards/Pierre de Beauport,Richards,0.282,0.517,0.565,0.000604,0.379,-7.602,0.0245,90.639,0.588,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Think,1965,1966,Aftermath,ABKCO Records,Studio,6,190,Jagger/Richards,Jagger,0.00464,0.61,0.612,0.0592,0.167,-11.976,0.0435,133.006,0.636,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
This Place Is Empty,2004,2005,A Bigger Bang,Virgin,Studio,9,196,Jagger/Richards,Richards,0.281,0.592,0.669,1.48e-06,0.185,-6.291,0.0264,90.209,0.51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Thru And Thru,1993,1994,Voodoo Lounge,Virgin,Studio,14,375,Jagger/Richards,Richards,0.722,0.386,0.316,1.22e-05,0.0862,-9.595,0.0308,83.51,0.191,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tie You Up (The Pain Of Love),1982,1983,Undercover,Universal,Studio,3,256,Jagger/Richards,Jagger,0.232,0.61,0.946,0.013,0.372,-4.487,0.0884,117.339,0.82,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Till The Next Goodbye,1973,1974,It's Only Rock 'n' Roll,Virgin,Studio,4,276,Jagger/Richards,Jagger,0.658,0.473,0.576,1.59e-05,0.0938,-6.872,0.0293,138.344,0.518,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Time Is On My Side,1964,1964,Got Live If You Want It!,ABKCO Records / Universal,Live,9,169,Norman Meade/Jimmy Norman,Jagger,0.344,0.23,0.844,0.0,0.0715,-7.577,0.18,217.578,0.404,Yes,02.10. 1982,62th,2nd,6th,28th,No,6th,10th,11th,4th,3rd,No,No,No
Time Waits For No One,1973,1974,It's Only Rock 'n' Roll,Virgin,Studio,5,398,Jagger/Richards,Jagger,0.0784,0.533,0.781,0.000273,0.063,-4.602,0.0316,118.316,0.815,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Too Much Blood,1982,1983,Undercover,Universal,Studio,6,374,Jagger/Richards,Jagger,0.0148,0.592,0.909,0.177,0.0571,-5.887,0.0512,116.439,0.479,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Too Rude,1985,1986,Dirty Work,Virgin,Studio,5,193,Lindon Roberts,Richards,0.262,0.625,0.822,2.54e-05,0.0245,-5.25,0.0723,164.531,0.846,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Too Tight,1997,1997,Bridges to Babylon,Virgin,Studio,11,217,Jagger/Richards,Jagger,0.000294,0.331,0.912,0.367,0.127,-4.828,0.0453,150.397,0.582,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Too Tough,1982,1983,Undercover,Universal,Studio,8,231,Jagger/Richards,Jagger,0.0131,0.542,0.947,0.0706,0.48,-4.611,0.0453,139.708,0.641,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tops,1979,1981,Tattoo You,Virgin,Studio,8,227,Jagger/Richards,Jagger,0.108,0.599,0.715,4.75e-05,0.0834,-7.107,0.0429,80.541,0.714,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Torn And Frayed,1971,1972,Exile on Main St.,Virgin,Studio,7,258,Jagger/Richards,"Jagger, Richards",0.664,0.454,0.766,0.904,0.594,-3.862,0.0272,90.677,0.776,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Tumbling Dice,1971,1972,Exile on Main St.,Virgin,Studio,5,227,Jagger/Richards,Jagger,0.315,0.4,0.897,0.000418,0.588,-4.685,0.0582,115.635,0.758,Yes,29.04. 1972,5th,8th,10th,4th,No,7th,17th,5th,No,No,7th,No,No
Turd On The Run,1971,1972,Exile on Main St.,Virgin,Studio,11,158,Jagger/Richards,Jagger,0.65,0.517,0.781,0.977,0.341,-6.33,0.0405,119.364,0.742,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Twenty Flight Rock ,1981,1982,Still Life,Virgin,Live,5,108,Eddie Cochran/Nelda Fairchild,Jagger,0.187,0.522415777,0.769,0.00691,0.2045,-6.493,0.0429,118.944,0.668,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
The Under Assistant West Coast Promotion Man,1965,1965,Out of Our Heads,ABKCO Records,Studio,9,187,Nanker Phelge[a],Jagger,0.0888,0.575,0.673,2.76e-06,0.222,-7.811,0.0347,136.974,0.625,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Under My Thumb,1966,1966,Got Live If You Want It!,ABKCO Records / Universal,Live,1,174,Jagger/Richards,Jagger,0.307,0.733,0.487,0.172,0.0887,-13.462,0.0417,126.994,0.782,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Under The Boardwalk,1964,1964,The Rolling Stones No.2,Decca,Studio,8,166,Kenny Young/Arthur Rednick,Jagger,0.604,0.699,0.481,0.0,0.225,-9.971,0.038,119.032,0.575,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Undercover Of The Night,1982,1983,Undercover,Universal,Studio,1,273,Jagger/Richards,Jagger,0.187,0.522415777,0.769,0.00691,0.2045,-6.493,0.0429,118.944,0.668,Yes,12.11. 1983,11th,11th,No,No,27th,9th,20th,4th,13th,18th,14th,20th,No
Ventilator Blues,1971,1972,Exile on Main St.,Virgin,Studio,12,204,Jagger/Richards/Taylor,Jagger,0.6,0.618,0.678,0.723,0.501,-5.199,0.0316,133.453,0.79,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Waiting On A Friend,1972,1981,No Security,Virgin,Live,8,292,Jagger/Richards,Jagger,0.157,0.606,0.794,0.0406,0.568,-6.042,0.0282,116.93,0.911,Yes,12.12. 1981,50th,6th,No,No,44th,13th,No,17th,No,No,10th,No,No
Wanna Hold You,1982,1983,Undercover,Universal,Studio,4,232,Jagger/Richards,Richards,0.244,0.441,0.959,0.000873,0.431,-4.508,0.113,154.861,0.727,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
What A Shame,1964,1965,"The Rolling Stones, Now!",ABKCO Records,Studio,5,186,Jagger/Richards,Jagger,0.165,0.68,0.565,0.148,0.14,-10.131,0.0298,127.011,0.89,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
When The Whip Comes Down,1977,1978,Some Girls,Universal,Studio,2,260,Jagger/Richards,Jagger,0.423,0.501,0.986,0.902,0.205,-1.845,0.0505,130.577,0.821,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Where The Boys Go,1979,1980,Emotional Rescue,Universal,Studio,6,209,Jagger/Richards,Jagger,0.266,0.49,0.993,0.583,0.786,-3.498,0.136,160.399,0.821,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Who's Been Sleeping Here,1966,1967,Between the Buttons,ABKCO Records,Studio,9,231,Jagger/Richards,Jagger,0.187,0.522415777,0.769,0.00691,0.2045,-6.493,0.0429,118.944,0.668,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Wild Horses,1969,1971,Sticky Fingers,Virgin,Studio,3,344,Jagger/Richards,Jagger,0.687,0.432,0.389,0.0107,0.0788,-6.517,0.0255,139.506,0.158,No,No,No,No,18th,21th,No,28th,No,No,No,No,11th,No,UK: Gold
Winning Ugly,1985,1986,Dirty Work,Virgin,Studio,6,272,Jagger/Richards,Jagger,0.342,0.541,0.935,0.00404,0.693,-2.991,0.0827,134.071,0.642,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Winter,1972,1973,Goats Head Soup,Interscope / Polydor,Studio,8,329,Jagger/Richards,Jagger,0.155,0.393,0.597,0.403,0.285,-6.395,0.0307,74.941,0.516,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Worried About You,1974,1981,Tattoo You,Virgin,Studio,7,317,Jagger/Richards,Jagger,0.105,0.428,0.636,0.000923,0.0865,-6.891,0.033,85.121,0.374,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
The Worst,1993,1994,Voodoo Lounge,Virgin,Studio,4,144,Jagger/Richards,Richards,0.147,0.486,0.451,0.000541,0.295,-10.86,0.033,69.393,0.24,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Yesterday's Papers,1966,1967,Between the Buttons,ABKCO Records,Studio,2,125,Jagger/Richards,Jagger,0.139,0.601,0.569,0.0,0.238,-8.074,0.0316,139.804,0.189,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
You Better Move On,1963,1964,December's Children (And Everybody's),ABKCO Records,Studio,3,160,Arthur Alexander,Jagger,0.448,0.619,0.664,0.0,0.244,-8.147,0.0295,115.814,0.736,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
You Can't Always Get What You Want,1968,1969,Let It Bleed,ABKCO Records,Studio,9,448,Jagger/Richards,Jagger,0.115,0.364,0.929,0.00893,0.745,-4.521,0.142,141.693,0.509,No,No,No,No,34th,36th,No,42th,No,No,No,No,No,No,No
You Can't Catch Me,1964,1965,"The Rolling Stones, Now!",ABKCO Records,Studio,3,220,Chuck Berry,Jagger,0.0611,0.659,0.872,0.00354,0.348,-11.355,0.0478,104.217,0.84,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
You Don't Have To Mean It,1997,1997,Bridges to Babylon,Virgin,Studio,6,223,Jagger/Richards,Richards,0.275,0.683,0.681,0.0,0.0675,-6.493,0.0386,129.679,0.901,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
You Got Me Rocking,1993,1994,No Security,Virgin,Live,2,208,Jagger/Richards,Jagger,0.000947,0.501,0.789,0.0361,0.267,-3.633,0.0372,126.253,0.653,Yes,08.10. 1994,23th,3rd,No,No,No,No,No,39th,No,No,29th,32th,No
You Got The Silver,1969,1969,Let It Bleed,ABKCO Records,Studio,7,170,Jagger/Richards,Richards,0.776,0.476,0.391,0.0208,0.228,-10.989,0.0529,101.482,0.545,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
You Gotta Move,1969,1971,Sticky Fingers,Virgin,Studio,5,153,Fred McDowell/Gary Davis,Jagger,0.724,0.439,0.422,0.203,0.152,-8.384,0.0312,70.283,0.564,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
