Title,Year_recorded,Year_released,Album,Record_label,Album_type,Track_number,Duration,Songwriter,Lead_vocal,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,British_charts,Date,UK_peak_pos,WoC,US_cash,US_rec_world,AUS,US,GER,NLD,FRA,SWI,CAN,POL,Certification
Factory Girl,1968,1968,Beggars Banquet,ABKCO Records,Studio,9,129,Jagger/Richards,Jagger,0.422,0.533,0.434,0.0,0.176,-11.685,0.036,111.755,0.464,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Far Away Eyes,1977,1978,Shine a Light,Interscope,Live,9,277,Jagger/Richards,Jagger,0.538,0.663,0.612,0.00743,0.232,-5.633,0.0281,94.669,0.718,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Feel On Baby,1983,1983,Undercover,Universal,Studio,5,306,Jagger/Richards,Jagger,0.0663,0.72,0.817,0.219,0.0608,-6.554,0.0405,131.006,0.966,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Fight,1985,1986,Dirty Work,Virgin,Studio,2,190,Jagger/Richards/Wood,Jagger,0.296,0.45,0.994,0.0328,0.936,-2.702,0.0594,157.766,0.476,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Fingerprint File,1974,1974,It's Only Rock 'n' Roll,Virgin,Studio,10,393,Jagger/Richards,Jagger,0.208,0.638,0.782,0.0607,0.274,-7.04,0.0515,104.716,0.854,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Flight 505,1965,1966,Aftermath,ABKCO Records,Studio,7,205,Jagger/Richards,Jagger,0.0567,0.564,0.671,0.0222,0.33,-11.141,0.0471,134.083,0.873,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Flip The Switch,1997,1997,No Security,Virgin,Live,4,252,Jagger/Richards,Jagger,0.000119,0.388,0.928,0.00162,0.364,-4.504,0.0495,163.15,0.594,No,No,No,No,No,No,No,No,No,No,No,No,26th,No,No
Fool To Cry,1974,1976,Black and Blue,Virgin,Studio,7,306,Jagger/Richards,Jagger,0.892,0.444,0.454,0.0546,0.114,-7.434,0.0419,67.848,0.236,Yes,01.05. 1976,6th,10th,9th,23th,No,10th,No,8th,2nd,No,11th,No,No
Fortune Teller,1963,1966,Got Live If You Want It!,ABKCO Records / Universal,Live,6,117,Allen Toussaint (under the pseudonym Naomi Neville),Jagger,0.003885,0.3325,0.9905,1.55e-05,0.2045,-7.3575,0.145,173.877,0.27,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Get Off Of My Cloud,1965,1965,Got Live If You Want It!,ABKCO Records / Universal,Live,2,174,Jagger/Richards,Jagger,0.0321,0.578,0.879,0.675,0.0617,-8.676,0.0565,126.116,0.871,Yes,03.11. 1965,1st,12th,1st,2nd,No,1st,1st,3rd,7th,No,1st,No,No
Going Home,1965,1966,Aftermath,ABKCO Records,Studio,11,695,Jagger/Richards,Jagger,0.069,0.513,0.513,0.0865,0.21,-13.006,0.051,130.711,0.456,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
